Serial_No,car_name,car_price,car_driven,fuel_type,tranmiion,ownerhip,manufacture,engine,seat
19,Maruti Ciaz Alpha Automatic BIV,8.5,"56,000",Petrol,Automatic,1t Owner,2019,1462,5
20,Maruti wift Dzire VXI,4.34,"56,568",Petrol,Manual,1t Owner,2014,1197,5
21,Renault KWID RXT,3.11,"48,872",Petrol,Manual,1t Owner,2017,799,5
22,Renault KWID RXL BIV,3.7,"17,346",Petrol,Manual,1t Owner,2019,799,5
23,Jeep Compa 2.0 Limited Plu BIV,15.88,"15,414",Dieel,Manual,1t Owner,2019,1956,5
24,Hyundai Grand i10 1.2 Kappa Magna BIV,5.41,"21,239",Petrol,Manual,1t Owner,2018,1197,5
25,Maruti Alto K10 LXI,2.23,"62,361",Petrol,Manual,1t Owner,2014,998,5
26,Hyundai Verna 1.6 VTVT  Option,5.88,"79,329",Petrol,Manual,2nd Owner,2015,1591,5
27,Hyundai Tucon GL AT,22.78,"11,945",Petrol,Automatic,1t Owner,2021,1999,5
28,Maruti wift Dzire VXI 1.2,6.12,"51,324",Petrol,Manual,1t Owner,2018,1197,5
29,Nian Magnite XV Premium,7.44,"5,717",Petrol,Manual,1t Owner,2021,999,5
30,Honda City i VTEC CVT VX,8.39,"46,417",Petrol,Automatic,1t Owner,2016,1497,5
31,Honda Amaze  i-Vtech,4.2,"1,00,161 ",Petrol,Manual,1t Owner,2015,1198,5
32,Hyundai Grand i10 portz,4.91,"35,424",Petrol,Manual,1t Owner,2016,1197,5
33,Hyundai EON Era Plu,2.93,"51,085",Petrol,Manual,1t Owner,2017,814,5
34,Maruti Alto 800 LXI,2.98,"30,983",Petrol,Manual,1t Owner,2016,796,5
35,Renault KWID RXL,2.6,"32,681",Petrol,Manual,1t Owner,2016,799,5
36,Hyundai EON Magna Plu,2.38,"57,581",Petrol,Manual,2nd Owner,2014,814,5
37,Honda Jazz 1.2 V AT i VTEC,6.05,"39,821",Petrol,Automatic,1t Owner,2016,1199,5
38,Maruti Alto 800 LXI,3.23,"21,186",Petrol,Manual,1t Owner,2018,796,5
39,Renault KWID RXL,3.26,"34,972",Petrol,Manual,1t Owner,2018,799,5
40,Honda Amaze  i-Vtech,4.21,"46,623",Petrol,Manual,2nd Owner,2015,1198,5
41,Kia elto GTX Plu,15.53,"18,557",Petrol,Manual,1t Owner,2019,1353,5
42,Jeep Compa 2.0 Limited,12.43,"58,463",Dieel,Manual,1t Owner,2017,1956,5
43,MG Hector Plu harp DCT,18.5,"5,000",Petrol,Automatic,1t Owner,2020,1451,6
44,Tata Harrier XZ BIV,15.9,"66,000",Dieel,Manual,1t Owner,2019,1956,5
45,Renault Duter Petrol RX CVT,8.9,"14,000",Petrol,Automatic,1t Owner,2019,1498,5
46,BMW 5 erie 520d Luxury Line,43,"61,000",Dieel,Automatic,1t Owner,2019,1995,5
47,Hyundai i20 1.4 Magna Executive,6,"65,392",Dieel,Manual,1t Owner,2017,1396,5
48,Mercede-Benz CLA 200 CGI port,27,"37,000",Petrol,Automatic,1t Owner,2018,1991,5
49,Maruti XL6 Zeta,10.9,"9,000",Petrol,Manual,1t Owner,2020,1462,6
50,Hyundai Grand i10 1.2 Kappa portz Option AT,5.9,"32,000",Petrol,Automatic,1t Owner,2017,1197,5
51,Mahindra XUV500 W8 2WD,6.5,"68,000",Dieel,Manual,1t Owner,2012,2179,7
52,Hyundai i20 Magna 1.2,6.75,"13,000",Petrol,Manual,1t Owner,2017,1197,5
53,Datun RediGO AMT 1.0 T Option,3.7,"30,000",Petrol,Automatic,1t Owner,2020,999,5
54,Honda Brio VX AT,5.25,"34,300",Petrol,Automatic,1t Owner,2015,1198,5
55,Honda City i VTEC CVT V,7.25,"45,000",Petrol,Automatic,1t Owner,2015,1497,5
56,Toyota Corolla Alti GL MT,8.5,"37,000",Petrol,Manual,1t Owner,2014,1798,5
57,Jeep Compa 1.4 port,14,"50,000",Petrol,Manual,1t Owner,2018,1368,5
58,Volvo XC60 D4 ummum,15,"1,05,241 ",Dieel,Automatic,1t Owner,2015,1985,5
59,Toyota Corolla Alti 1.8 G,13.9,"54,000",Petrol,Manual,1t Owner,2019,1798,5
60,Hyundai Verna VTVT 1.6 X,8.9,"19,600",Petrol,Manual,1t Owner,2019,1591,5
61,Audi A4 2.0 TDI Technology Edition,16.9,"48,000",Dieel,Automatic,1t Owner,2015,1968,5
62,Audi Q3 2.0 TDI,13.9,"69,500",Dieel,Automatic,1t Owner,2012,1968,5
63,BMW 5 erie 530d,15,"71,000",Dieel,Automatic,2nd Owner,2012,2993,5
64,Porche Cayenne  Dieel,45,"48,894",Dieel,Automatic,1t Owner,2014,4134,5
65,Maruti A-tar Zxi,1.53,"46,257",Petrol,Manual,3rd Owner,2008,998,5
66,Ford Ecoport 1.5 DV5 MT Titanium,5.09,"78,264",Dieel,Manual,2nd Owner,2015,1498,5
67,Honda Jazz 1.2  AT i VTEC,5.46,"42,451",Petrol,Automatic,1t Owner,2016,1199,5
68,Volkwagen Vento Dieel Highline,2.73,"1,31,861 ",Dieel,Manual,2nd Owner,2012,1598,5
69,Maruti Wagon R VXI B IV,1.8,"1,28,004 ",Petrol,Manual,2nd Owner,2012,998,5
70,Chevrolet Beat Dieel P,1.1,"1,50,349 ",Dieel,Manual,1t Owner,2012,936,5
71,Maruti Wagon R VXI B IV,3.69,"29,033",Petrol,Manual,1t Owner,2017,998,5
72,BMW 3 erie 320d Luxury Line,13.5,"99,000",Dieel,Automatic,1t Owner,2015,1995,5
73,Renault KWID RXL,2.75,"47,000",Petrol,Manual,1t Owner,2018,799,5
74,Maruti Baleno 1.3 igma,5.5,"35,000",Dieel,Manual,1t Owner,2018,1248,5
75,Mercede-Benz C-Cla C 220 CDI BE COR,9.75,"58,000",Dieel,Automatic,1t Owner,2013,2143,5
76,Honda City ,4,"48,000",Petrol,Manual,1t Owner,2012,1497,5
77,Honda Amaze VX AT i-Vtech,4.75,"45,000",Petrol,Automatic,1t Owner,2014,1198,5
78,Hyundai EON D Lite,1.9,"60,000",Petrol,Manual,2nd Owner,2012,814,5
79,Hyundai i20 Magna Optional 1.2,4.65,"23,000",Petrol,Manual,1t Owner,2014,1197,5
80,Hyundai Grand i10 1.2 Kappa Era,4.6,"45,000",Petrol,Manual,1t Owner,2019,1197,5
81,Hyundai i10 Magna 1.1L,3.25,"45,000",Petrol,Manual,1t Owner,2014,1086,5
82,Maruti Ertiga VDI,5.25,"58,000",Dieel,Manual,1t Owner,2013,1248,7
83,Hyundai i20 1.2 potz,6.25,"48,000",Petrol,Manual,1t Owner,2018,1197,5
84,BMW 2 erie 220i M port,40,"18,000",Petrol,Automatic,1t Owner,2021,1998,5
85,koda Kuhaq 1.0 TI tyle 6 Airbag AT,16.75,"16,000",Petrol,Automatic,1t Owner,2022,999,5
86,Honda City i-VTEC VX,10,"24,000",Petrol,Manual,1t Owner,2019,1497,5
87,MG Hector Plu elect Dieel MT 7 TR,17.9,"36,000",Dieel,Manual,1t Owner,2021,1956,7
88,Jeep Compa 1.4 Limited Plu,13.9,"35,000",Petrol,Automatic,2nd Owner,2019,1368,5
89,Honda Amaze E Petrol BIV,6.1,"64,000",Petrol,Manual,1t Owner,2019,1199,5
90,Maruti Vitara Brezza VDi,7.75,"72,000",Dieel,Manual,1t Owner,2017,1248,5
91,Hyundai Grand i10 Magna,4.6,"29,900",Petrol,Manual,1t Owner,2015,1197,5
92,Mahindra XUV700 AX5 Dieel AT,20.91,"20,000",Dieel,Automatic,1t Owner,2022,2198,5
93,Tata Indigo VX BIV,3.1,"1,60,000 ",Dieel,Manual,1t Owner,2013,1396,5
94,Tata Tiago XZ Plu,5.65,"16,000",Petrol,Manual,1t Owner,2020,1199,5
95,Honda WR-V i-VTEC VX,9,"17,000",Petrol,Manual,1t Owner,2019,1199,5
96,Lexu NX 300h,42,"1,11,000 ",Petrol,Automatic,1t Owner,2018,2499,5
97,Mercede-Benz M-Cla ML 250 CDI,28.5,"38,000",Dieel,Automatic,2nd Owner,2015,2143,5
98,Honda Jazz 1.5 V i DTEC,5.5,"32,000",Dieel,Manual,1t Owner,2015,1498,5
99,Volkwagen Polo 1.2 MPI Comfortline,4.5,"67,000",Petrol,Manual,1t Owner,2015,1198,5
100,Ford Ecoport 1.5 Petrol Titanium AT,6.75,"50,000",Petrol,Automatic,1t Owner,2016,1496,5
101,Maruti wift VDI BIV,1.8,"1,10,000 ",Dieel,Manual,2nd Owner,2010,1248,5
102,Hyundai Verna VTVT 1.6 AT EX,7.75,"51,000",Petrol,Automatic,1t Owner,2017,1591,5
103,Hyundai Grand i10 1.2 CRDi portz,5.5,"83,000",Dieel,Manual,1t Owner,2017,1186,5
104,Audi Q3 35 TDI Quattro Premium,24,"38,000",Dieel,Automatic,1t Owner,2016,1968,5
105,Hyundai Creta 1.6 X Automatic Dieel,13.25,"58,000",Dieel,Automatic,1t Owner,2018,1582,5
106,Hyundai Creta 1.6 X,11,"36,000",Petrol,Manual,1t Owner,2018,1591,5
107,Volkwagen Vento 1.0 TI Highline AT,10.5,"23,500",Petrol,Automatic,1t Owner,2020,999,5
108,Hyundai i20 1.2 Magna Executive,6.5,"60,000",Petrol,Manual,1t Owner,2017,1197,5
109,koda uperb LK 1.8 TI AT,25,"18,000",Petrol,Automatic,1t Owner,2018,1798,5
110,Honda Amaze V Petrol BIV,6,"36,500",Petrol,Manual,1t Owner,2017,1199,5
111,koda uperb portline,31,"25,000",Petrol,Automatic,1t Owner,2021,1984,5
112,Kia elto HTX IVT,15.75,"20,500",Petrol,Automatic,1t Owner,2020,1497,5
113,Honda Amaze  i-Vtech,4.5,"30,000",Petrol,Manual,1t Owner,2015,1198,5
114,Hyundai i20 Magna 1.2,5.9,"59,000",Petrol,Manual,1t Owner,2017,1197,5
115,BMW X1 Drive 20d xLine,14.5,"80,000",Dieel,Automatic,1t Owner,2014,1995,5
116,Hyundai Xcent 1.2 CRDi E Plu,3.8,"50,000",Dieel,Manual,2nd Owner,2017,1186,5
117,Tata Harrier XZA Plu Kaziranga Edition AT,21,"32,000",Dieel,Automatic,1t Owner,2021,1956,5
118,Hyundai i10 Era 1.1 iTech E,2.61,"1,20,000 ",Petrol,Manual,2nd Owner,2012,1086,5
119,Land Rover Dicovery 2.0 R-Dynamic HE,1.10 Crore,"33,000",Petrol,Automatic,1t Owner,2021,1997,7
120,Mini 3 DOOR Cooper ,42,"6,900",Petrol,Automatic,1t Owner,2019,1998,4
121,Tata Harrier XZA Plu Kaziranga Edition AT,22.5,"4,500",Dieel,Automatic,1t Owner,2022,1956,5
122,Volvo 90 D4 Incription BIV,42,"51,000",Dieel,Automatic,1t Owner,2018,1969,5
123,Kia elto GTX Plu AT D,19.75,"12,000",Dieel,Automatic,1t Owner,2022,1493,5
124,Maruti Vitara Brezza ZDi Plu,9.5,"37,000",Dieel,Manual,1t Owner,2018,1248,5
125,Hyundai Verna X Opt Dieel,14.51,"35,000",Dieel,Manual,1t Owner,2021,1493,5
126,Maruti Wagon R VXI Optional,3,"80,000",Petrol,Manual,2nd Owner,2016,998,5
127,Hyundai Grand i10 Magna,4.6,"60,000",Petrol,Manual,1t Owner,2016,1197,5
128,Honda Amaze VX CVT,9.15,"10,000",Petrol,Automatic,1t Owner,2022,1199,5
129,Maruti Igni Zeta AMT,5.5,"59,385",Petrol,Automatic,1t Owner,2019,1197,5
130,Jaguar XF 3.0 Litre  Premium Luxury,17,"51,000",Dieel,Automatic,2nd Owner,2012,2993,5
131,Mahindra XUV500 AT W6 1.99 mHawk,9.9,"74,000",Dieel,Automatic,1t Owner,2017,1997,7
132,Tata Nexon 1.2 Revotron XMA,8.51,"29,000",Petrol,Automatic,1t Owner,2020,1198,5
133,Jeep Compa Model  4X4 Dieel AT,27.5,"12,200",Dieel,Automatic,1t Owner,2021,1956,5
134,Hyundai Grand i10 1.2 Kappa portz Option AT,5.5,"40,000",Petrol,Automatic,3rd Owner,2019,1197,5
135,Hyundai Verna CRDi 1.6 X,9.51,"58,000",Dieel,Manual,1t Owner,2018,1582,5
136,Toyota Innova Cryta 2.8 ZX AT BIV,19.9,"75,000",Dieel,Automatic,2nd Owner,2019,2755,7
137,Land Rover Dicovery port TD4 HE 7,35.5,"72,000",Dieel,Automatic,1t Owner,2018,1999,7
138,Ford Apire 1.2 Ti-VCT Titanium,5.5,"23,400",Petrol,Manual,1t Owner,2017,1196,5
139,Ford Apire 1.2 Ti-VCT Ambiente,3.9,"59,300",Petrol,Manual,1t Owner,2017,1196,5
140,Hyundai Creta 1.4 CRDi ,8.9,"72,000",Dieel,Manual,1t Owner,2016,1396,5
141,Maruti wift Dzire LDI,4.51,"67,000",Dieel,Manual,1t Owner,2017,1248,5
142,Honda Amaze  CVT i-VTEC,7.25,"33,500",Petrol,Automatic,1t Owner,2018,1199,5
143,Hyundai Creta X Executive,12.75,"17,000",Petrol,Manual,2nd Owner,2021,1497,5
144,Volkwagen Ameo 1.5 TDI Highline AT,6.9,"33,000",Dieel,Automatic,1t Owner,2016,1498,5
145,Volkwagen Polo GT TI,6.75,"49,000",Petrol,Automatic,1t Owner,2015,1197,5
146,Hyundai Grand i10 AT Ata,5.65,"26,000",Petrol,Automatic,1t Owner,2015,1197,5
147,Hyundai Venue X Opt iMT,10,"14,500",Petrol,Manual,1t Owner,2020,998,5
148,Kia elto GTX Plu AT D,19.75,"10,000",Dieel,Automatic,1t Owner,2022,1493,5
149,MG Hector Plu harp DCT,17,"15,001",Petrol,Automatic,1t Owner,2020,1451,6
150,koda Octavia Elegance 1.8 TI AT,9.75,"55,000",Petrol,Automatic,2nd Owner,2015,1798,5
151,Toyota Corolla Alti G,6.5,"38,000",Petrol,Manual,1t Owner,2013,1798,5
152,Ford Endeavour 4x4 XLT,4,"1,10,000 ",Dieel,Manual,2nd Owner,2005,2953,7
153,Honda Amaze  AT i-Vtech,4.75,"65,413",Petrol,Automatic,1t Owner,2013,1198,5
154,Honda Jazz Mode,2.8,"45,000",Petrol,Manual,2nd Owner,2009,1198,5
155,Ford Figo 1.2P Trend MT,4.3,"44,000",Petrol,Manual,1t Owner,2017,1196,5
156,Hyundai Grand i10 1.2 Kappa Magna BIV,4.9,"40,000",Petrol,Manual,1t Owner,2017,1197,5
157,Ford Ecoport 1.5 Petrol Titanium AT,6.51,"49,000",Petrol,Automatic,1t Owner,2016,1496,5
158,Mahindra Thar LX 4-tr Hard Top Dieel AT,17.51,"19,000",Dieel,Automatic,1t Owner,2022,2184,4
159,Hyundai i20 Magna Optional 1.4 CRDi,3.91,"56,000",Dieel,Manual,2nd Owner,2013,1396,5
160,Honda City 1.5 V MT,3.75,"65,000",Petrol,Manual,2nd Owner,2010,1497,5
161,Toyota Etio G,4.9,"27,680",Petrol,Manual,1t Owner,2013,1496,5
162,Kia elto GTX Plu AT D,18.25,"27,305",Dieel,Automatic,1t Owner,2021,1493,5
163,BMW 3 erie 320d,33,"10,793",Dieel,Automatic,1t Owner,2019,1995,5
164,BMW X3 xDrive 20d Luxury Line,56,"12,000",Dieel,Automatic,1t Owner,2020,1995,5
165,MG Hector harp DCT,14.99,"44,000",Petrol,Automatic,1t Owner,2019,1451,5
166,Kia elto HTK G,11.99,"63,000",Petrol,Manual,1t Owner,2020,1497,5
167,Hyundai i20 portz Plu Dieel,6.5,"87,000",Dieel,Manual,1t Owner,2019,1396,5
168,Maruti Alto LXi,1.9,"61,000",Petrol,Manual,1t Owner,2010,796,5
169,Hyundai i20 portz Option 1.4 CRDi,6.25,"72,000",Dieel,Manual,1t Owner,2016,1396,5
170,Audi A4 2.0 TDI Multitronic,16.51,"70,000",Dieel,Automatic,1t Owner,2015,1968,5
171,Nian Micra Dieel XV,2.25,"58,000",Dieel,Manual,2nd Owner,2012,1461,5
172,Honda Jazz Active,1.3,"90,000",Petrol,Manual,3rd Owner,2009,1198,5
173,Honda City VX MT,12.5,"19,000",Petrol,Manual,1t Owner,2022,1497,5
174,Toyota Corolla Alti G AT,9.25,"72,159",Petrol,Automatic,1t Owner,2014,1798,5
175,Ford Ecoport 1.5 DV5 MT Titanium,5.9,"78,000",Dieel,Manual,1t Owner,2015,1498,5
176,Ford Ecoport 1.5 Dieel Titanium BIV,6.9,"58,000",Dieel,Manual,1t Owner,2018,1498,5
177,Ford Ecoport 1.5 Dieel Titanium Plu BIV,8.9,"72,000",Dieel,Manual,1t Owner,2018,1498,5
178,Land Rover Range Rover Evoque 2.0 TD4 E,42.5,"56,000",Dieel,Automatic,1t Owner,2018,1999,5
179,Nian Micra Dieel XV,2.9,"73,000",Dieel,Manual,1t Owner,2012,1461,5
180,Hyundai Creta 1.6 VTVT ,8.9,"28,840",Petrol,Manual,1t Owner,2016,1591,5
181,Maruti wift Dzire AMT ZXI,6.9,"51,500",Petrol,Automatic,1t Owner,2019,1197,5
182,Maruti -Preo VXI Plu AT 2019-2022,4.8,"41,370",Petrol,Automatic,1t Owner,2020,998,5
183,Hyundai Creta 1.6 VTVT ,8.75,"41,266",Petrol,Manual,1t Owner,2016,1591,5
184,Hyundai Verna VTVT 1.6 AT X Option,9.9,"31,740",Petrol,Automatic,1t Owner,2018,1591,5
185,Maruti Ciaz VXi Plu,6.15,"77,876",Petrol,Manual,1t Owner,2015,1373,5
186,koda Kuhaq 1.5 TI tyle,20.5,"9,500",Petrol,Manual,1t Owner,2022,1498,5
187,Hyundai Grand i10 1.2 Kappa portz Option AT,6.25,"28,387",Petrol,Automatic,1t Owner,2019,1197,5
188,Mercede-Benz M-Cla ML 350 CDI,27,"1,20,000 ",Dieel,Automatic,2nd Owner,2015,2987,5
189,Hyundai Grand i10 Magna,4.5,"20,000",Petrol,Manual,2nd Owner,2017,1197,5
190,Mercede-Benz C-Cla Progreive C 220d,42.5,"30,686",Dieel,Automatic,1t Owner,2020,1950,5
191,Tata Indica eV2 DL BIII,1,"1,20,000 ",Dieel,Manual,2nd Owner,2013,1396,5
192,Mahindra Bolero Power Plu LE,6,"1,84,000 ",Dieel,Manual,2nd Owner,2018,1493,7
193,Honda City 1.5  AT,4,"40,000",Petrol,Automatic,1t Owner,2009,1497,5
194,Maruti Ciaz Delta Dieel,6.25,"55,000",Dieel,Manual,1t Owner,2015,1248,5
195,Hyundai Grand i10 1.2 Kappa portz Option,5.75,"38,000",Petrol,Manual,1t Owner,2019,1197,5
196,Audi Q3 30 TFI Premium FWD,23.5,"40,000",Petrol,Automatic,1t Owner,2017,1395,5
197,Hyundai antro G zipDrive - Euro II,1.35,"60,000",Petrol,Manual,2nd Owner,2006,999,5
198,Mahindra Bolero LX,3,"1,10,000 ",Dieel,Manual,3rd Owner,2009,2523,7
199,Maruti wift LDI,2.1,"1,43,000 ",Dieel,Manual,2nd Owner,2011,1248,5
200,Tata Indica Aqua 1.3 Quadrajet BIV,1.25,"1,10,000 ",Dieel,Manual,3rd Owner,2012,1248,5
201,Mahindra KUV 100 mFALCON D75 K4 Plu,4.75,"58,000",Dieel,Manual,1t Owner,2017,1198,6
202,Honda City i VTEC V,5.5,"65,000",Petrol,Manual,2nd Owner,2014,1497,5
203,Tata Harrier XZ Plu,17,"50,000",Dieel,Manual,1t Owner,2021,1956,5
204,Tata Zet Revotron 1.2 XT,3.49,"55,000",Petrol,Manual,1t Owner,2015,1193,5
205,Land Rover Dicovery port R-Dynamic E Dieel,70,"19,500",Dieel,Automatic,1t Owner,2021,1999,7
206,Mahindra XUV500 AT W10 FWD,9.25,"78,000",Dieel,Automatic,2nd Owner,2016,2179,7
207,Honda City V MT,3.9,"58,000",Petrol,Manual,1t Owner,2010,1497,5
208,Mahindra XUV500 W10 2WD,10.25,"91,000",Dieel,Manual,1t Owner,2017,2179,7
209,Mahindra XUV500 AT W10 1.99 mHawk,11.25,"30,000",Dieel,Automatic,1t Owner,2016,1997,7
210,Maruti Baleno 1.2 Zeta,7.25,"44,153",Petrol,Manual,1t Owner,2018,1197,5
211,Mercede-Benz C-Cla C 250d Avantgarde Edition C,34.5,"21,000",Dieel,Automatic,1t Owner,2018,2143,5
212,Kia elto HTX G,14,"19,000",Petrol,Manual,1t Owner,2020,1497,5
213,Hyundai Alcazar ignature Dieel AT,19.5,"27,300",Dieel,Automatic,1t Owner,2021,1493,6
214,koda uperb Laurin & klement,34,"31,001",Petrol,Automatic,1t Owner,2021,1984,5
215,Renault KWID 1.0 RXT,3.1,"50,000",Petrol,Manual,1t Owner,2017,999,5
216,Maruti Wagon R LXI BII,1.3,"77,000",Petrol,Manual,2nd Owner,2005,998,5
217,Maruti wift Dzire AMT VXI,6.5,"53,000",Petrol,Automatic,1t Owner,2018,1197,5
218,Datun RediGO ,2.75,"20,000",Petrol,Manual,1t Owner,2017,799,5
219,Honda Brio  Option MT,3.5,"72,000",Petrol,Manual,1t Owner,2013,1198,5
220,Hyundai Creta 1.6 VTVT ,8.9,"26,000",Petrol,Manual,1t Owner,2016,1591,5
221,Honda Amaze  i-Dtech,4.25,"66,000",Dieel,Manual,1t Owner,2015,1498,5
222,Jaguar XF 2.2 Litre Luxury,22,"69,619",Dieel,Automatic,1t Owner,2014,2179,5
223,Maruti Alto K10 VXI AMT,4.3,"30,000",Petrol,Automatic,1t Owner,2018,998,5
224,Maruti Wagon R LXI Minor,2.11,"61,000",Petrol,Manual,1t Owner,2009,1061,5
225,Renault Duter 110P Dieel RxZ AMT,9.75,"31,000",Dieel,Automatic,1t Owner,2018,1461,5
226,Volkwagen Polo GT TI,6.25,"66,000",Petrol,Automatic,1t Owner,2015,1197,5
227,Land Rover Dicovery port R-Dynamic E,72,"7,700",Petrol,Automatic,1t Owner,2021,1997,7
228,Mahindra XUV700 AX3 AT,17.5,"9,000",Petrol,Automatic,1t Owner,2022,1999,5
229,Tata Tigor 1.2 Revotron XT,3.4,"60,000",Petrol,Manual,2nd Owner,2017,1199,5
230,koda Fabia 1.2 MPI Active,1.1,"1,10,000 ",Petrol,Manual,3rd Owner,2009,1198,5
231,Kia elto HTX Plu AT D,16.75,"51,001",Dieel,Automatic,1t Owner,2020,1493,5
232,Jeep Compa 2.0 Limited Plu AT,21,"56,207",Dieel,Automatic,1t Owner,2020,1956,5
233,Mercede-Benz GLA Cla 200 d port,26.9,"58,000",Dieel,Automatic,1t Owner,2019,2143,5
234,Hyundai i20 Dieel portz,6.5,"73,290",Dieel,Manual,1t Owner,2018,1396,5
235,Hyundai Verna 1.6 CRDi ,7.9,"44,283",Dieel,Manual,1t Owner,2017,1582,5
236,Maruti Celerio VXI AT,4.25,"48,000",Petrol,Automatic,1t Owner,2016,998,5
237,Honda City 1.5  MT,3.4,"1,07,500 ",Petrol,Manual,3rd Owner,2010,1497,5
238,Maruti wift 1.3 LXI,"99,999","80,000",Petrol,Manual,3rd Owner,2007,1298,5
239,Maruti X4 Celebration Petrol,2,"90,000",Petrol,Manual,2nd Owner,2009,1586,5
240,Maruti Vitara Brezza LXI,7.75,"10,000",Petrol,Manual,1t Owner,2021,1462,5
241,Maruti Wagon R LXI B IV,2.15,"1,20,000 ",Petrol,Manual,1t Owner,2011,998,5
242,Maruti Wagon R LXI B IV,2.37,"1,20,000 ",Petrol,Manual,1t Owner,2011,998,5
243,Maruti Zen LX,"55,000","90,000",Petrol,Manual,3rd Owner,2002,993,5
244,Mahindra KUV 100 NXT G80 K2,4.25,"46,000",Petrol,Manual,1t Owner,2018,1198,6
245,Nian unny XL D,5.75,"28,000",Dieel,Manual,1t Owner,2017,1461,5
246,Honda WR-V V,8.25,"24,000",Petrol,Manual,1t Owner,2020,1199,5
247,Honda WR-V i-VTEC ,6.9,"23,000",Petrol,Manual,1t Owner,2018,1199,5
248,Honda WR-V i-VTEC VX,7.75,"24,300",Petrol,Manual,1t Owner,2018,1199,5
249,Honda WR-V i-VTEC VX,7.9,"51,000",Petrol,Manual,1t Owner,2019,1199,5
250,Kia elto GTX Plu DCT,14.9,"6,000",Petrol,Automatic,1t Owner,2020,1353,5
251,Kia elto GTX Plu DCT,17.25,"12,600",Petrol,Automatic,1t Owner,2021,1353,5
252,Jeep Meridian Limited Opt AT 4x4,37,"3,500",Dieel,Automatic,1t Owner,2022,1956,7
253,Hyundai i10 Era,2.3,"1,20,000 ",Petrol,Manual,1t Owner,2011,1086,5
254,Hyundai Grand i10 Nio portz CNG,7.5,"5,000",Cng,Manual,1t Owner,2022,1197,5
255,Hyundai antro Xing GL,1.35,"1,20,000 ",Petrol,Manual,4th Owner,2010,1086,5
256,Honda Jazz V CVT,6.95,"40,000",Petrol,Automatic,1t Owner,2018,1199,5
257,Honda City i-VTEC V,7.85,"96,000",Petrol,Manual,1t Owner,2018,1497,5
258,Honda City 1.5  MT,3.25,"67,000",Petrol,Manual,2nd Owner,2010,1497,5
259,Honda City i-VTEC V,7.9,"72,000",Petrol,Manual,1t Owner,2018,1497,5
260,Hyundai i10 Magna,3.21,"89,000",Petrol,Manual,1t Owner,2013,1197,5
261,Volkwagen Polo Dieel Trendline 1.2L,3.3,"64,000",Dieel,Manual,1t Owner,2011,1199,5
262,Maruti wift Vdi BIII,2,"1,20,000 ",Dieel,Manual,3rd Owner,2010,1248,5
263,Honda Jazz 1.2 V i VTEC,5.4,"42,000",Petrol,Manual,1t Owner,2017,1199,5
264,Datun RediGO T,2.7,"55,000",Petrol,Manual,1t Owner,2017,799,5
265,Hyundai antro Era Executive BIV,4.95,"30,000",Petrol,Manual,1t Owner,2019,1086,5
266,Tata Hexa XTA,10,"86,500",Dieel,Automatic,2nd Owner,2017,2179,7
267,Honda CR-V 2.4L 4WD AT,10.5,"59,000",Petrol,Automatic,1t Owner,2014,2354,5
268,Hyundai EON Era Plu,3.1,"15,000",Petrol,Manual,1t Owner,2018,814,5
269,Mahindra corpio 7 140 BIV,12,"70,000",Dieel,Manual,1t Owner,2019,2179,7
